패키지,시나리오,층,촬영의도,최대밀도,CBS@0.25,CBS@0.5,CBS@0.75,CBS@1.0,CBS@1.25,CBS@1.5,CBS@1.75,CBS@2.0,CBS@2.5,CBS@3.0,CBS@3.5
AI hub 1·3층,scenario_01,floor4,IDR,0.988,2.9317,0.4876,0.2376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 1·3층,scenario_02,floor4,IDR,2.469,11.3200,8.3324,5.8324,3.3945,2.1445,0.9690,0.7190,0.4690,0.0000,0.0000,0.0000
AI hub 1·3층,scenario_03,floor4,IDR,0.988,6.6134,2.4379,1.1879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 1·3층,scenario_04,floor4,EPFI,0.988,3.5311,1.0684,0.4752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 1·3층,scenario_05,floor4,EPFI,1.481,6.1321,2.9317,1.6817,0.4814,0.2314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 1·3층,scenario_06,floor4,EPFI,1.481,5.6445,2.9317,1.6817,0.4814,0.2314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 1·3층,scenario_07,floor4,CBS,1.673,9.9273,6.6959,4.3881,2.1753,1.0783,0.3470,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 1·3층,scenario_08,floor4,CBS,3.347,29.8955,24.1517,19.4204,14.9701,11.7388,8.7760,6.3525,4.1770,1.7144,0.3470,0.0000
AI hub 1·3층,scenario_09,floor4,CBS,1.673,8.1442,4.9128,2.9893,1.2518,0.4235,0.1735,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 1·3층,scenario_10,floor4,SEI,1.116,10.8515,6.8577,3.8876,1.1376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 1·3층,scenario_11,floor4,SEI,1.116,5.8517,2.3579,1.0970,0.3470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 1·3층,scenario_12,floor5,,0.288,0.0385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 1·3층,scenario_13,floor5,,0.413,0.1626,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 1·3층,scenario_14,floor5,,0.577,0.4039,0.0770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 3층 1차,scenario_01,floor6,,2.231,28.0236,20.3046,14.5733,9.1230,5.4290,2.5035,0.9626,0.4626,0.0000,0.0000,0.0000
AI hub 3층 1차,scenario_02,floor6,,3.905,24.8201,18.5701,14.5350,11.0350,8.4083,6.4083,4.7144,3.7144,1.9831,0.9048,0.4048
AI hub 3층 1차,scenario_03,floor6,,2.231,22.8414,13.6348,8.8960,5.9457,4.0800,2.3300,0.9626,0.4626,0.0000,0.0000,0.0000
AI hub 3층 1차,scenario_04,floor6,,0.988,3.6755,1.4628,0.7128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 3층 1차,scenario_05,floor6,,0.547,0.5932,0.0932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 3층 1차,scenario_06,floor6,,1.093,3.2082,1.7082,0.8184,0.0932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 3층 1차,scenario_07,floor6,,1.481,14.5347,7.8095,3.9179,1.2424,0.4628,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 3층 1차,scenario_08,floor6,,1.640,8.9400,4.6900,1.9195,0.9195,0.3898,0.1398,0.0000,0.0000,0.0000,0.0000,0.0000
AI hub 3층 1차,scenario_09,floor6,,1.481,7.1401,4.1401,2.1942,1.4442,0.6942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
