시나리오,역할,EPFI최저@2m,EPFI최저@4m,EPFI최저@6m,EPFI최저@8m,EPFI최저@10m,EPFI최저@12m,EPFI최저@14m,EPFI최저@16m,EPFI최저@20m,EPFI최저@25m
S01,참고,0.0,0.0,0.0,14.8,31.9,43.2,51.3,57.4,65.9,72.8
S02,음성,0.0,0.0,30.7,48.1,58.4,65.4,70.3,74.0,79.2,83.4
S03,음성,0.0,0.0,0.0,23.4,38.7,48.9,56.2,61.7,69.4,75.5
S04,양성,0.0,0.0,0.0,0.0,0.0,15.1,27.2,36.3,49.1,59.3
S05,양성,0.0,0.0,0.0,0.0,0.0,14.9,27.1,36.2,48.9,59.2
S06,양성,0.0,0.0,0.0,0.0,0.0,0.0,9.2,20.5,36.4,49.1
S07,음성,0.0,30.0,53.4,65.0,72.0,76.7,80.0,82.5,86.0,88.8
S08,음성,0.0,41.9,61.2,70.9,76.7,80.6,83.4,85.5,88.4,90.7
S09,음성,0.0,34.9,56.6,67.5,74.0,78.3,81.4,83.7,87.0,89.6
S10,제외,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,24.3,39.4
S11,제외,0.0,0.0,0.0,0.0,0.0,0.0,6.7,18.4,34.7,47.8
S12,1층,0.0,0.0,1.1,25.9,40.7,50.6,57.6,62.9,70.3,76.3
S13,1층,0.0,15.6,43.8,57.8,66.3,71.9,75.9,78.9,83.1,86.5
S14,1층,0.0,0.0,0.0,9.2,27.4,39.5,48.1,54.6,63.7,70.9
