시나리오,역할,각본,바꾼 인자,값,재구성 인원,EPFI 최저(d=12m),EPFI 중앙,최대 이탈m,중앙 이탈m,대피 중앙s,배정 경로
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,(기본값),,12,43.2,77.1,6.81,2.75,22.7,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,cos_th,0.4,12,43.2,77.1,6.81,2.75,22.7,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,cos_th,0.45,12,43.2,77.1,6.81,2.75,22.7,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,cos_th,0.5,12,43.2,77.1,6.81,2.75,22.7,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,cos_th,0.55,12,43.2,77.1,6.81,2.75,22.7,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,cos_th,0.6,11,43.2,71.3,6.81,3.44,22.7,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,fragment_obs,25,20,43.2,87.4,6.81,1.51,22.7,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,fragment_obs,50,17,43.2,82.9,6.81,2.06,22.7,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,fragment_obs,75,14,43.2,80.1,6.81,2.38,22.7,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,fragment_obs,100,12,43.2,77.1,6.81,2.75,22.7,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,fragment_obs,150,10,43.2,75.7,6.81,2.91,22.5,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,fragment_obs,200,9,43.2,82.9,6.81,2.06,22.7,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,link_tol,0.0,12,43.2,77.1,6.81,2.75,22.7,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,link_tol,0.05,11,43.2,71.3,6.81,3.44,22.5,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,link_tol,0.1,7,43.8,73.9,6.74,3.14,21.6,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,link_tol,0.2,5,43.8,76.7,6.74,2.79,18.6,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,slack_m,1.0,11,43.2,81.1,6.81,2.26,22.9,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,slack_m,2.0,12,43.2,77.1,6.81,2.75,22.7,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,slack_m,3.0,12,43.2,77.1,6.81,2.75,22.7,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,slack_m,4.0,12,29.0,76.2,8.52,2.86,22.1,auto-evac-1 r1 r2
S01,참고,권장경로 2명 넘어감 + 우측 우회 2명,slack_m,6.0,11,43.2,69.5,6.81,3.66,22.7,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,(기본값),,15,65.4,91.8,4.16,0.98,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,cos_th,0.4,15,65.4,91.8,4.16,0.98,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,cos_th,0.45,15,65.4,91.8,4.16,0.98,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,cos_th,0.5,15,65.4,91.8,4.16,0.98,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,cos_th,0.55,15,65.4,91.8,4.16,0.98,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,cos_th,0.6,15,65.4,91.8,4.16,0.98,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,fragment_obs,25,21,65.4,90.2,4.16,1.18,35.2,auto-evac-1 r1 r2 r3
S02,음성,권장경로 — 매우 느린 속도,fragment_obs,50,20,65.4,89.8,4.16,1.22,35.2,auto-evac-1 r1 r2 r3
S02,음성,권장경로 — 매우 느린 속도,fragment_obs,75,17,65.4,91.8,4.16,0.98,35.2,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,fragment_obs,100,15,65.4,91.8,4.16,0.98,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,fragment_obs,150,14,65.4,91.0,4.16,1.08,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,fragment_obs,200,13,80.1,91.8,2.39,0.98,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,link_tol,0.0,15,65.4,91.8,4.16,0.98,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,link_tol,0.05,15,65.4,91.8,4.16,0.98,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,link_tol,0.1,13,65.4,90.2,4.16,1.18,37.3,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,link_tol,0.2,11,50.4,91.1,5.95,1.07,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,slack_m,1.0,15,65.4,91.8,4.16,0.98,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,slack_m,2.0,15,65.4,91.8,4.16,0.98,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,slack_m,3.0,15,65.4,91.8,4.16,0.98,36.9,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,slack_m,4.0,16,65.4,92.1,4.16,0.95,35.8,auto-evac-1 r1 r2
S02,음성,권장경로 — 매우 느린 속도,slack_m,6.0,16,65.4,92.1,4.16,0.95,35.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,(기본값),,14,48.9,91.7,6.13,0.99,56.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,cos_th,0.4,14,48.9,91.7,6.13,0.99,56.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,cos_th,0.45,14,48.9,91.7,6.13,0.99,56.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,cos_th,0.5,14,48.9,91.7,6.13,0.99,56.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,cos_th,0.55,14,48.9,91.7,6.13,0.99,56.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,cos_th,0.6,14,48.9,91.7,6.13,0.99,56.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,fragment_obs,25,21,48.9,91.7,6.13,0.99,56.8,auto-evac-1 r1 r2 r3
S03,음성,2초 멈췄다 움직였다 이동,fragment_obs,50,17,48.9,91.7,6.13,0.99,56.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,fragment_obs,75,16,48.9,90.9,6.13,1.09,56.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,fragment_obs,100,14,48.9,91.7,6.13,0.99,56.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,fragment_obs,150,13,48.9,91.8,6.13,0.99,56.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,fragment_obs,200,12,48.9,91.7,6.13,0.99,58.4,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,link_tol,0.0,14,48.9,91.7,6.13,0.99,56.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,link_tol,0.05,13,48.9,91.8,6.13,0.99,58.1,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,link_tol,0.1,11,51.8,91.5,5.79,1.02,56.9,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,link_tol,0.2,8,74.9,91.6,3.02,1.0,57.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,slack_m,1.0,14,48.9,91.7,6.13,0.99,56.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,slack_m,2.0,14,48.9,91.7,6.13,0.99,56.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,slack_m,3.0,14,48.9,91.7,6.13,0.99,56.8,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,slack_m,4.0,13,48.9,91.8,6.13,0.99,58.1,auto-evac-1 r1 r2
S03,음성,2초 멈췄다 움직였다 이동,slack_m,6.0,13,48.9,91.8,6.13,0.99,58.1,auto-evac-1 r1 r2
S04,양성,2명이 완전 빙 돌아 진입,(기본값),,12,15.1,79.5,10.19,2.46,23.9,auto-evac-1 r1 r2
S04,양성,2명이 완전 빙 돌아 진입,cos_th,0.4,12,15.1,79.5,10.19,2.46,23.9,auto-evac-1 r1 r2
S04,양성,2명이 완전 빙 돌아 진입,cos_th,0.45,12,15.1,79.5,10.19,2.46,23.9,auto-evac-1 r1 r2
S04,양성,2명이 완전 빙 돌아 진입,cos_th,0.5,12,15.1,79.5,10.19,2.46,23.9,auto-evac-1 r1 r2
S04,양성,2명이 완전 빙 돌아 진입,cos_th,0.55,12,15.1,79.5,10.19,2.46,23.9,auto-evac-1 r1 r2
S04,양성,2명이 완전 빙 돌아 진입,cos_th,0.6,12,15.1,79.5,10.19,2.46,23.9,auto-evac-1 r1 r2
S04,양성,2명이 완전 빙 돌아 진입,fragment_obs,25,19,15.1,80.8,10.19,2.31,23.9,auto-evac-1 r1 r2 r3
