패키지,시나리오,역할,각본_이탈인원,person_id,관측,카메라수,트랙렛수,지속s,이탈_트랙렛배정_m,이탈_사람배정_m,EPFI_트랙렛(d=4.0),EPFI_사람(d=4.0),배정경로
1·3층,scenario_01,기준,2,p4,280,6,6,17.0,2.055,9.422,48.6,0.0,auto-evac-3
1·3층,scenario_01,기준,2,p7,242,7,10,20.5,1.211,6.593,69.7,0.0,auto-evac-1
1·3층,scenario_01,기준,2,p2,305,8,11,37.8,2.625,5.431,34.4,0.0,auto-evac-1
1·3층,scenario_01,기준,2,p23,161,5,6,32.1,2.629,5.101,34.3,0.0,auto-evac-1
1·3층,scenario_01,기준,2,p1,394,8,10,33.9,1.676,4.814,58.1,0.0,auto-evac-1
1·3층,scenario_01,기준,2,p11,142,6,6,25.1,1.816,3.568,54.6,10.8,auto-evac-1
1·3층,scenario_01,기준,2,p27,100,3,5,8.5,2.542,2.563,36.4,35.9,auto-evac-3
1·3층,scenario_01,기준,2,p9,347,7,7,27.9,2.219,2.353,44.5,41.2,auto-evac-1
1·3층,scenario_01,기준,2,p15,310,5,8,29.9,1.525,1.973,61.9,50.7,auto-evac-1
1·3층,scenario_01,기준,2,p24,220,4,4,8.5,1.681,1.741,58.0,56.5,auto-evac-1
1·3층,scenario_01,기준,2,p12,200,4,5,8.5,0.930,1.656,76.7,58.6,auto-evac-1
1·3층,scenario_01,기준,2,p3,305,5,5,18.0,0.446,0.522,88.9,86.9,auto-evac-1
1·3층,scenario_02,음성,0,p5,159,4,7,15.0,4.979,6.376,0.0,0.0,auto-evac-3
1·3층,scenario_02,음성,0,p23,225,7,7,35.2,4.347,3.488,0.0,12.8,auto-evac-1
1·3층,scenario_02,음성,0,p2,425,7,10,45.0,3.124,3.266,21.9,18.3,auto-evac-1
1·3층,scenario_02,음성,0,p8,415,6,8,42.4,2.535,2.564,36.6,35.9,auto-evac-1
1·3층,scenario_02,음성,0,p6,628,6,8,41.9,2.321,2.389,42.0,40.3,auto-evac-1
1·3층,scenario_02,음성,0,p7,723,7,10,45.0,2.242,1.994,44.0,50.1,auto-evac-1
1·3층,scenario_02,음성,0,p20,276,4,4,10.5,2.573,1.871,35.7,53.2,auto-evac-1
1·3층,scenario_02,음성,0,p24,442,3,3,11.2,1.725,1.752,56.9,56.2,auto-evac-1
1·3층,scenario_02,음성,0,p3,312,5,6,38.4,1.980,1.736,50.5,56.6,auto-evac-1
1·3층,scenario_02,음성,0,p26,487,4,4,21.0,1.662,1.591,58.5,60.2,auto-evac-1
1·3층,scenario_02,음성,0,p15,301,3,4,9.7,1.099,1.096,72.5,72.6,auto-evac-1
1·3층,scenario_02,음성,0,p25,550,5,6,25.5,0.735,0.686,81.6,82.9,auto-evac-1
1·3층,scenario_02,음성,0,p1,352,3,5,26.1,0.646,0.648,83.8,83.8,auto-evac-3
1·3층,scenario_02,음성,0,p12,103,2,3,14.9,1.061,0.626,73.5,84.3,auto-evac-1
1·3층,scenario_02,음성,0,p9,221,1,1,48.0,0.625,0.624,84.4,84.4,auto-evac-3
1·3층,scenario_03,음성,0,p19,833,7,12,55.6,3.264,8.480,18.4,0.0,auto-evac-3
1·3층,scenario_03,음성,0,p5,101,1,2,4.6,5.821,5.917,0.0,0.0,auto-evac-3
1·3층,scenario_03,음성,0,p16,673,7,16,77.4,2.849,2.884,28.8,27.9,auto-evac-1
1·3층,scenario_03,음성,0,p9,737,7,8,58.2,2.519,2.662,37.0,33.5,auto-evac-1
1·3층,scenario_03,음성,0,p49,141,2,2,21.6,2.641,2.642,34.0,33.9,auto-evac-2
1·3층,scenario_03,음성,0,p15,855,5,5,35.0,2.871,2.574,28.2,35.6,auto-evac-1
1·3층,scenario_03,음성,0,p6,984,7,13,70.0,2.346,2.199,41.4,45.0,auto-evac-1
1·3층,scenario_03,음성,0,p3,642,7,8,68.6,2.291,2.196,42.7,45.1,auto-evac-1
1·3층,scenario_03,음성,0,p12,993,7,7,77.0,2.371,2.182,40.7,45.5,auto-evac-1
1·3층,scenario_03,음성,0,p22,689,6,12,50.2,1.687,1.501,57.8,62.5,auto-evac-1
1·3층,scenario_03,음성,0,p14,695,5,7,58.2,1.125,1.045,71.9,73.9,auto-evac-1
1·3층,scenario_03,음성,0,p7,602,6,10,63.2,0.838,0.911,79.0,77.2,auto-evac-1
1·3층,scenario_03,음성,0,p2,683,3,4,22.4,0.824,0.837,79.4,79.1,auto-evac-3
1·3층,scenario_03,음성,0,p1,577,3,9,80.0,0.823,0.825,79.4,79.4,auto-evac-3
1·3층,scenario_03,음성,0,p37,174,3,3,12.8,0.433,0.434,89.2,89.2,auto-evac-1
1·3층,scenario_04,양성,2,p18,194,2,2,51.6,2.339,13.270,41.5,0.0,auto-evac-3
1·3층,scenario_04,양성,2,p14,292,10,12,50.0,4.055,10.197,0.0,0.0,auto-evac-1
1·3층,scenario_04,양성,2,p13,359,11,19,53.0,3.636,9.757,9.1,0.0,auto-evac-1
1·3층,scenario_04,양성,2,p3,319,9,10,57.6,3.839,9.484,4.0,0.0,auto-evac-1
1·3층,scenario_04,양성,2,p11,415,7,8,57.6,1.638,3.903,59.1,2.4,auto-evac-3
1·3층,scenario_04,양성,2,p12,158,2,3,54.0,2.822,3.063,29.4,23.4,auto-evac-1
1·3층,scenario_04,양성,2,p40,158,1,1,35.0,2.642,2.638,34.0,34.0,auto-evac-2
1·3층,scenario_04,양성,2,p6,243,5,6,23.2,1.915,2.430,52.1,39.2,auto-evac-1
1·3층,scenario_04,양성,2,p30,194,4,4,11.2,2.306,2.339,42.3,41.5,auto-evac-1
1·3층,scenario_04,양성,2,p9,421,6,8,58.0,2.370,2.214,40.7,44.7,auto-evac-1
1·3층,scenario_04,양성,2,p4,377,6,8,23.2,2.019,1.990,49.5,50.2,auto-evac-1
1·3층,scenario_04,양성,2,p17,236,4,4,12.0,1.992,1.948,50.2,51.3,auto-evac-1
1·3층,scenario_05,양성,2,p3,477,7,10,36.6,2.166,12.022,45.8,0.0,auto-evac-3
1·3층,scenario_05,양성,2,p6,350,5,10,43.1,2.443,2.951,38.9,26.2,auto-evac-1
1·3층,scenario_05,양성,2,p8,377,6,7,23.7,2.673,2.931,33.2,26.7,auto-evac-1
1·3층,scenario_05,양성,2,p7,225,7,10,43.1,2.584,2.758,35.4,31.0,auto-evac-1
1·3층,scenario_05,양성,2,p2,636,7,17,40.5,2.481,2.465,38.0,38.4,auto-evac-1
1·3층,scenario_05,양성,2,p1,423,5,5,43.1,2.533,2.342,36.7,41.5,auto-evac-1
1·3층,scenario_05,양성,2,p10,336,7,8,26.7,2.042,2.117,48.9,47.1,auto-evac-1
1·3층,scenario_05,양성,2,p30,244,4,4,16.8,1.696,1.661,57.6,58.5,auto-evac-1
1·3층,scenario_05,양성,2,p22,183,3,3,9.8,1.101,1.027,72.5,74.3,auto-evac-1
1·3층,scenario_05,양성,2,p17,540,5,12,31.2,1.020,0.882,74.5,77.9,auto-evac-1
1·3층,scenario_06,양성,1,p14,213,3,3,46.7,2.342,13.833,41.4,0.0,auto-evac-3
1·3층,scenario_06,양성,1,p5,575,7,9,56.6,2.117,12.195,47.1,0.0,auto-evac-3
1·3층,scenario_06,양성,1,p3,429,12,15,61.1,3.489,8.691,12.8,0.0,auto-evac-1
1·3층,scenario_06,양성,1,p1,162,4,7,13.5,3.137,3.140,21.6,21.5,auto-evac-1
1·3층,scenario_06,양성,1,p4,543,6,7,61.1,2.783,2.597,30.4,35.1,auto-evac-1
1·3층,scenario_06,양성,1,p21,384,7,9,56.9,2.331,2.455,41.7,38.6,auto-evac-1
1·3층,scenario_06,양성,1,p37,191,1,2,38.4,2.309,2.302,42.3,42.5,auto-evac-2
1·3층,scenario_06,양성,1,p7,369,6,6,26.7,2.233,2.201,44.2,45.0,auto-evac-1
1·3층,scenario_06,양성,1,p2,378,6,7,22.5,2.165,2.091,45.9,47.7,auto-evac-1
1·3층,scenario_06,양성,1,p15,187,5,6,20.7,1.617,1.517,59.6,62.1,auto-evac-1
