시나리오,dt_hold,v_th,판정,개시지연_s
S01,0.5,0.3,started,13.0
S01,0.5,0.4,started,13.0
S01,0.5,0.5,started,13.0
S01,0.5,0.6,started,13.0
S01,1.0,0.3,started,13.0
S01,1.0,0.4,started,13.0
S01,1.0,0.5,started,13.0
S01,1.0,0.6,started,13.0
S01,1.5,0.3,started,13.0
S01,1.5,0.4,started,13.0
S01,1.5,0.5,started,13.0
S01,1.5,0.6,started,13.0
S01,2.0,0.3,started,13.0
S01,2.0,0.4,started,13.0
S01,2.0,0.5,started,13.0
S01,2.0,0.6,started,13.0
S01,3.0,0.3,started,13.0
S01,3.0,0.4,started,13.0
S01,3.0,0.5,started,13.0
S01,3.0,0.6,started,13.0
S01,4.0,0.3,not_started,
S01,4.0,0.4,not_started,
S01,4.0,0.5,not_started,
S01,4.0,0.6,not_started,
S02,0.5,0.3,started,17.0
S02,0.5,0.4,started,17.0
S02,0.5,0.5,started,22.0
S02,0.5,0.6,started,22.0
S02,1.0,0.3,started,17.0
S02,1.0,0.4,started,17.0
S02,1.0,0.5,started,22.0
S02,1.0,0.6,started,22.0
S02,1.5,0.3,started,22.0
S02,1.5,0.4,not_started,
S02,1.5,0.5,not_started,
S02,1.5,0.6,not_started,
S02,2.0,0.3,started,22.0
S02,2.0,0.4,not_started,
S02,2.0,0.5,not_started,
S02,2.0,0.6,not_started,
S02,3.0,0.3,started,22.0
S02,3.0,0.4,not_started,
S02,3.0,0.5,not_started,
S02,3.0,0.6,not_started,
S02,4.0,0.3,not_started,
S02,4.0,0.4,not_started,
S02,4.0,0.5,not_started,
S02,4.0,0.6,not_started,
S03,0.5,0.3,started,32.0
S03,0.5,0.4,started,32.0
S03,0.5,0.5,started,32.0
S03,0.5,0.6,not_started,
S03,1.0,0.3,started,32.0
S03,1.0,0.4,started,32.0
S03,1.0,0.5,started,32.0
S03,1.0,0.6,not_started,
S03,1.5,0.3,not_started,
S03,1.5,0.4,not_started,
S03,1.5,0.5,not_started,
S03,1.5,0.6,not_started,
S03,2.0,0.3,not_started,
S03,2.0,0.4,not_started,
S03,2.0,0.5,not_started,
S03,2.0,0.6,not_started,
S03,3.0,0.3,not_started,
S03,3.0,0.4,not_started,
S03,3.0,0.5,not_started,
S03,3.0,0.6,not_started,
S03,4.0,0.3,not_started,
S03,4.0,0.4,not_started,
S03,4.0,0.5,not_started,
S03,4.0,0.6,not_started,
S04,0.5,0.3,started,2.0
S04,0.5,0.4,started,2.0
S04,0.5,0.5,started,2.0
S04,0.5,0.6,started,9.0
S04,1.0,0.3,started,2.0
S04,1.0,0.4,started,2.0
S04,1.0,0.5,started,2.0
S04,1.0,0.6,started,9.0
S04,1.5,0.3,started,2.0
S04,1.5,0.4,started,2.0
S04,1.5,0.5,started,2.0
S04,1.5,0.6,started,9.0
S04,2.0,0.3,started,2.0
S04,2.0,0.4,started,2.0
S04,2.0,0.5,started,2.0
S04,2.0,0.6,started,9.0
S04,3.0,0.3,started,2.0
S04,3.0,0.4,started,2.0
S04,3.0,0.5,started,2.0
S04,3.0,0.6,started,9.0
S04,4.0,0.3,started,9.0
S04,4.0,0.4,started,9.0
S04,4.0,0.5,started,9.0
S04,4.0,0.6,started,9.0
S05,0.5,0.3,started,4.0
S05,0.5,0.4,started,4.0
S05,0.5,0.5,started,4.0
S05,0.5,0.6,started,4.0
S05,1.0,0.3,started,4.0
S05,1.0,0.4,started,4.0
S05,1.0,0.5,started,4.0
S05,1.0,0.6,started,4.0
S05,1.5,0.3,started,4.0
S05,1.5,0.4,started,4.0
S05,1.5,0.5,started,4.0
S05,1.5,0.6,started,4.0
S05,2.0,0.3,started,4.0
S05,2.0,0.4,started,4.0
