시나리오,층,각본,겨눈 인자,인자,값,판정,개시지연_s,IDR_mps,판정시점_r_e
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,r_th,0.3,started,7.0,2.91,0.583
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,r_th,0.4,started,8.0,2.547,0.667
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,r_th,0.5,started,8.0,2.547,0.667
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,r_th,0.6,started,9.0,2.264,0.667
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,r_th,0.7,started,13.0,1.567,0.909
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,r_th,0.75,started,13.0,1.567,0.909
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,r_th,0.8,started,13.0,1.567,0.909
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,r_th,0.85,started,14.0,1.455,1.0
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,r_th,0.9,started,14.0,1.455,1.0
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,r_th,0.95,not_started,,,0.0
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,r_th,1.0,not_started,,,0.0
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,v_th,0.2,started,13.0,1.567,0.909
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,v_th,0.25,started,13.0,1.567,0.909
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,v_th,0.3,started,13.0,1.567,0.909
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,v_th,0.35,started,13.0,1.567,0.909
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,v_th,0.4,started,13.0,1.567,0.909
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,v_th,0.45,started,13.0,1.567,0.909
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,v_th,0.5,started,13.0,1.567,0.909
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,v_th,0.6,started,13.0,1.567,0.909
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,v_th,0.7,started,13.0,1.567,0.909
S01,floor4,권장경로 8명 + 우측 우회 2명,r_th,v_th,0.8,started,13.0,1.567,0.909
