패키지,시나리오,층,정답_exit0,정답_exit1,측정_exit0,측정_exit1,일치,SEI,실제분담_exit0,설계분담_exit0,TVD,정의식_SEI
AI hub 1·3층,scenario_01,floor4,10,0,10,0,일치,53.3333,1.0000,0.5333,0.4667,53.3333
AI hub 1·3층,scenario_02,floor4,10,0,10,0,일치,53.3333,1.0000,0.5333,0.4667,53.3333
AI hub 1·3층,scenario_03,floor4,10,0,10,0,일치,53.3333,1.0000,0.5333,0.4667,53.3333
AI hub 1·3층,scenario_04,floor4,10,0,10,0,일치,53.3333,1.0000,0.5333,0.4667,53.3333
AI hub 1·3층,scenario_05,floor4,10,0,10,0,일치,53.3333,1.0000,0.5333,0.4667,53.3333
AI hub 1·3층,scenario_06,floor4,10,0,10,0,일치,53.3333,1.0000,0.5333,0.4667,53.3333
AI hub 1·3층,scenario_07,floor4,10,0,10,0,일치,53.3333,1.0000,0.5333,0.4667,53.3333
AI hub 1·3층,scenario_08,floor4,10,0,10,0,일치,53.3333,1.0000,0.5333,0.4667,53.3333
AI hub 1·3층,scenario_09,floor4,10,0,10,0,일치,53.3333,1.0000,0.5333,0.4667,53.3333
AI hub 1·3층,scenario_10,floor4,3,7,3,7,일치,76.6667,0.3000,0.5333,0.2333,76.6667
AI hub 1·3층,scenario_11,floor4,3,9,3,9,일치,71.6667,0.2500,0.5333,0.2833,71.6667
AI hub 1·3층,scenario_12,floor5,,10,0,10,일치,53.5714,0.0000,0.4643,0.4643,53.5714
AI hub 1·3층,scenario_13,floor5,12,0,12,0,일치,46.4286,1.0000,0.4643,0.5357,46.4286
AI hub 1·3층,scenario_14,floor5,,10,6,10,일치,91.0714,0.3750,0.4643,0.0893,91.0714
AI hub 3층 1차,scenario_01,floor6,10,0,10,0,일치,53.3333,1.0000,0.5333,0.4667,53.3333
AI hub 3층 1차,scenario_02,floor6,0,10,0,10,일치,46.6667,0.0000,0.5333,0.5333,46.6667
AI hub 3층 1차,scenario_03,floor6,5,5,5,5,일치,96.6667,0.5000,0.5333,0.0333,96.6667
AI hub 3층 1차,scenario_04,floor6,10,0,10,0,일치,53.3333,1.0000,0.5333,0.4667,53.3333
AI hub 3층 1차,scenario_05,floor6,0,10,0,10,일치,46.6667,0.0000,0.5333,0.5333,46.6667
AI hub 3층 1차,scenario_06,floor6,5,5,5,5,일치,96.6667,0.5000,0.5333,0.0333,96.6667
AI hub 3층 1차,scenario_07,floor6,10,0,10,0,일치,53.3333,1.0000,0.5333,0.4667,53.3333
AI hub 3층 1차,scenario_08,floor6,0,10,0,10,일치,46.6667,0.0000,0.5333,0.5333,46.6667
AI hub 3층 1차,scenario_09,floor6,,,0,1,측정제외,46.6667,,0.5333,,
