시나리오,지표,각본,정답 e0,정답 e1,측정 e0,측정 e1,카운팅,SEI,CBS,IDR 상태,IDR 지연s,IDR,EPFI 역할,EPFI 최저(d=12m),재구성 인원,대피 중앙s
S01,IDR,권장경로 2명 넘어감 + 우측 우회 2명,10,0,10,0,일치,53.3,0.00,started,13,1.57,참고,43.2,12,22.7
S02,IDR,권장경로 — 매우 느린 속도,10,0,10,0,일치,53.3,0.00,started,22,0.93,음성,65.4,15,36.9
S03,IDR,2초 멈췄다 움직였다 이동,10,0,10,0,일치,53.3,0.00,started,32,0.64,음성,49.0,14,56.8
S04,EPFI,2명이 완전 빙 돌아 진입,10,0,10,0,일치,53.3,0.00,started,2,10.19,양성,15.1,14,23.9
S05,EPFI,2명 시작점 복귀 후 재진입,10,0,10,0,일치,53.3,0.00,started,4,5.09,양성,14.9,10,18.6
S06,EPFI,1명이 빙빙 돌아 진입,10,0,10,0,일치,53.3,0.00,started,4,5.09,양성,0.0,16,19.6
S07,CBS,2열로 진입 (밀도 아님),10,0,10,0,일치,53.3,0.00,started,10,2.04,음성,76.7,14,27.9
S08,CBS,문 근처 밀집 2회 (밀도),10,0,10,0,일치,53.3,4.65,not_started,,,음성,80.6,10,43.1
S09,CBS,5명 + 중간 5명 합류 (밀도 아님),10,0,10,0,일치,53.3,0.00,not_started,,,음성,78.3,11,28.5
S10,SEI,7:3 분산,3,7,3,7,일치,76.7,0.00,not_started,,,제외,0.0,15,59.0
S11,SEI,7:3 + 2명 재진입 (7+2=9),3,9,3,9,일치,71.7,0.00,not_started,,,제외,0.0,17,52.9
S12,1층,출구 나가기,,10,0,10,일치,53.6,0.00,started,42,0.53,1층,50.6,13,43.2
S13,1층,출구 → 흡연장,12,0,12,0,일치,46.4,0.00,started,36,0.62,1층,71.9,19,8.4
S14,1층,반반 나눠 나가기,,10,6,10,일치,91.1,0.00,started,48,0.46,1층,39.5,14,10.7
