cam,offset,memo
cam1,19.2667,slate_f39
cam2,59.8667,slate_f27
cam3,62.8667,slate_f27
cam4,56.4333,slate_f44
cam5,25.6000,slate_f19
cam6,57.8333,slate_f26
cam7,28.0333,slate_f32
cam8,23.5333,slate_f17
cam9,21.5333,slate_f17
cam10,54.2000,slate_f37
cam11,46.9333,slate_f29
cam12,41.3333,slate_f41
cam13,58.0333,slate_f32
cam14,65.3333,slate_f41
cam15,67.7000,slate_f22
cam16,30.2667,slate_f39
cam17,80.7000,slate_f22
cam18,82.5667,slate_f18
cam31,34.0000,g2_slate_f31
cam32,27.5333,g2_slate_f17
cam33,32.4000,g2_slate_f13
cam34,14.5333,g2_slate_f17
cam35,16.1333,g2_slate_f35
cam36,24.4333,g2_slate_f14
cam37,30.1167,g2_slate_f68
cam38,11.1667,g2_slate_f36
cam39,36.0333,g2_slate_f32
