file,join,join_time,frames,dup
cam10,1,601,90,0
cam10,2,1201,90,0
cam10,3,1801,90,0
cam10,4,2401,90,0
cam11,1,601,90,0
cam11,2,1201,90,0
cam11,3,1801,90,0
cam11,4,2401,90,0
cam11,5,3001,90,0
cam12,1,601,90,0
cam12,2,1201,90,0
cam12,3,1801,90,0
cam12,4,2401,90,0
cam12,5,3001,90,0
cam13,1,601,90,0
cam13,2,1201,90,0
cam13,3,1801,90,0
cam13,4,2401,90,0
cam13,5,3001,90,0
cam13,6,3601,90,0
cam13,7,4201,90,0
cam14,1,601,90,0
cam14,2,1201,90,0
cam14,3,1801,90,0
cam14,4,2401,90,0
cam15,1,601,180,43
cam15,2,1201,180,43
cam15,3,1801,180,43
cam15,4,2401,180,43
cam15,5,3001,180,43
cam15,6,3601,180,43
cam15,7,4201,180,43
cam15,8,4801,180,43
cam16,1,601,180,0
cam16,2,1201,180,0
cam16,3,1801,180,0
cam16,4,2401,180,0
cam17,1,601,180,0
cam17,2,1201,180,0
cam17,3,1801,180,0
cam17,4,2401,180,0
cam18,1,601,180,1
cam18,2,1201,180,0
cam18,3,1801,180,0
cam18,4,2401,180,0
cam18,5,3001,180,0
cam1,1,601,90,0
cam1,2,1201,90,0
cam1,3,1801,90,0
cam1,4,2401,90,0
cam1,5,3001,90,0
cam2,1,601,90,0
cam2,2,1201,90,0
cam2,3,1801,90,0
cam2,4,2401,90,0
cam2,5,3001,90,0
cam2,6,3601,90,0
cam2,7,4201,90,0
cam31_2nd,1,601,90,0
cam31,1,601,90,0
cam31,2,1201,90,0
cam32_2nd,1,601,90,0
cam32,1,601,90,0
cam32,2,1201,90,0
cam33_2nd,1,601,90,0
cam33,1,601,90,0
cam34,1,601,90,0
cam34,2,1201,90,0
cam35,1,601,90,0
cam35,2,1201,90,0
cam36,1,601,90,0
cam36,2,1201,90,0
cam37,1,601,180,0
cam37,2,1201,180,1
cam38_2nd,1,601,90,0
cam38,1,601,90,0
cam38,2,1201,90,0
cam39,1,601,90,0
cam3,1,601,90,0
cam3,2,1201,90,0
cam3,3,1801,90,0
cam3,4,2401,90,0
cam3,5,3001,90,0
cam3,6,3601,90,0
cam3,7,4201,90,0
cam4,1,601,90,0
cam4,2,1201,90,0
cam4,3,1801,90,0
cam4,4,2401,90,0
cam4,5,3001,90,0
cam4,6,3601,90,0
cam4,7,4201,90,0
cam5,1,601,90,0
cam5,2,1201,90,0
cam5,3,1801,90,0
cam5,4,2401,90,0
cam5,5,3001,90,0
cam5,6,3601,90,0
cam5,7,4201,90,0
cam6,1,601,90,0
cam6,2,1201,90,0
cam6,3,1801,90,0
cam6,4,2401,90,0
cam6,5,3001,90,0
cam7,1,601,90,0
cam7,2,1201,90,0
cam7,3,1801,90,0
cam7,4,2401,90,0
cam7,5,3001,90,0
cam7,6,3601,90,0
cam7,7,4201,90,0
cam8,1,601,90,0
cam8,2,1201,90,0
cam8,3,1801,90,0
cam8,4,2401,90,0
cam8,5,3001,90,0
cam8,6,3601,90,0
cam9,1,601,90,0
cam9,2,1201,90,0
cam9,3,1801,90,0
cam9,4,2401,90,0
cam9,5,3001,90,0
cam9,6,3601,90,0
cam9,7,4201,90,0
