cam,file,codec,width,height,fps,duration,sample_rate
cam1,2026_0911_140023_007.MP4,h264,1920,1080,30/1,601.088000,32000
cam1,2026_0911_141024_008.MP4,h264,1920,1080,30/1,601.000000,32000
cam1,2026_0911_142024_009.MP4,h264,1920,1080,30/1,601.000000,32000
cam1,2026_0911_143024_010.MP4,h264,1920,1080,30/1,601.000000,32000
cam1,2026_0911_144024_011.MP4,h264,1920,1080,30/1,601.000000,32000
cam1,2026_0911_145024_012.MP4,h264,1920,1080,30/1,436.533333,32000
cam2,2026_0911_135955_023.MP4,h264,1920,1080,30/1,601.088000,32000
cam2,2026_0911_140955_024.MP4,h264,1920,1080,30/1,601.000000,32000
cam2,2026_0911_141955_025.MP4,h264,1920,1080,30/1,601.000000,32000
cam2,2026_0911_142955_026.MP4,h264,1920,1080,30/1,601.000000,32000
cam2,2026_0911_143955_027.MP4,h264,1920,1080,30/1,601.000000,32000
cam2,2026_0911_144955_028.MP4,h264,1920,1080,30/1,601.000000,32000
cam2,2026_0911_145955_029.MP4,h264,1920,1080,30/1,601.000000,32000
cam2,2026_0911_150955_030.MP4,h264,1920,1080,30/1,180.433333,32000
cam3,2026_0911_135920_019.MP4,h264,1920,1080,30/1,601.088000,32000
cam3,2026_0911_140921_020.MP4,h264,1920,1080,30/1,601.000000,32000
cam3,2026_0911_141921_021.MP4,h264,1920,1080,30/1,601.000000,32000
cam3,2026_0911_142921_022.MP4,h264,1920,1080,30/1,601.000000,32000
cam3,2026_0911_143921_023.MP4,h264,1920,1080,30/1,601.000000,32000
cam3,2026_0911_144921_024.MP4,h264,1920,1080,30/1,601.000000,32000
cam3,2026_0911_145921_025.MP4,h264,1920,1080,30/1,601.000000,32000
cam3,2026_0911_150921_026.MP4,h264,1920,1080,30/1,287.040000,32000
cam4,2026_0911_135954_021.MP4,h264,1920,1080,30/1,601.088000,32000
cam4,2026_0911_140955_022.MP4,h264,1920,1080,30/1,601.000000,32000
cam4,2026_0911_141955_023.MP4,h264,1920,1080,30/1,601.000000,32000
cam4,2026_0911_142955_024.MP4,h264,1920,1080,30/1,601.000000,32000
cam4,2026_0911_143955_025.MP4,h264,1920,1080,30/1,601.000000,32000
cam4,2026_0911_144955_026.MP4,h264,1920,1080,30/1,601.000000,32000
cam4,2026_0911_145955_027.MP4,h264,1920,1080,30/1,601.000000,32000
cam4,2026_0911_150955_028.MP4,h264,1920,1080,30/1,150.866667,32000
cam5,2026_0911_140011_012.MP4,h264,1920,1080,30/1,601.088000,32000
cam5,2026_0911_141012_013.MP4,h264,1920,1080,30/1,601.000000,32000
cam5,2026_0911_142012_014.MP4,h264,1920,1080,30/1,601.000000,32000
cam5,2026_0911_143012_015.MP4,h264,1920,1080,30/1,601.000000,32000
cam5,2026_0911_144012_016.MP4,h264,1920,1080,30/1,601.000000,32000
cam5,2026_0911_145012_017.MP4,h264,1920,1080,30/1,601.000000,32000
cam5,2026_0911_150012_018.MP4,h264,1920,1080,30/1,601.000000,32000
cam5,2026_0911_151012_019.MP4,h264,1920,1080,30/1,97.500000,32000
cam6,2026_0911_135947_004.MP4,h264,1920,1080,30/1,601.088000,32000
cam6,2026_0911_140948_005.MP4,h264,1920,1080,30/1,601.000000,32000
cam6,2026_0911_141948_006.MP4,h264,1920,1080,30/1,601.000000,32000
cam6,2026_0911_142948_007.MP4,h264,1920,1080,30/1,601.000000,32000
