cam,join,fps,frames,seconds
cam1,1,30,30,1.000
cam1,2,30,30,1.000
cam1,3,30,30,1.000
cam1,4,30,30,1.000
cam1,5,30,30,1.000
cam2,1,30,30,1.000
cam2,2,30,30,1.000
cam2,3,30,30,1.000
cam2,4,30,30,1.000
cam2,5,30,30,1.000
cam2,6,30,30,1.000
cam2,7,30,30,1.000
cam3,1,30,30,1.000
cam3,2,30,30,1.000
cam3,3,30,30,1.000
cam3,4,30,30,1.000
cam3,5,30,30,1.000
cam3,6,30,30,1.000
cam3,7,30,30,1.000
cam4,1,30,30,1.000
cam4,2,30,30,1.000
cam4,3,30,30,1.000
cam4,4,30,30,1.000
cam4,5,30,30,1.000
cam4,6,30,30,1.000
cam4,7,30,30,1.000
cam5,1,30,30,1.000
cam5,2,30,30,1.000
cam5,3,30,30,1.000
cam5,4,30,30,1.000
cam5,5,30,30,1.000
cam5,6,30,30,1.000
cam5,7,30,30,1.000
cam6,1,30,30,1.000
cam6,2,30,30,1.000
cam6,3,30,30,1.000
cam6,4,30,30,1.000
cam6,5,30,30,1.000
cam7,1,30,30,1.000
cam7,2,30,30,1.000
cam7,3,30,30,1.000
cam7,4,30,30,1.000
cam7,5,30,30,1.000
cam7,6,30,30,1.000
cam7,7,30,30,1.000
cam8,1,30,30,1.000
cam8,2,30,30,1.000
cam8,3,30,30,1.000
cam8,4,30,30,1.000
cam8,5,30,30,1.000
cam8,6,30,30,1.000
cam9,1,30,30,1.000
cam9,2,30,30,1.000
cam9,3,30,30,1.000
cam9,4,30,30,1.000
cam9,5,30,30,1.000
cam9,6,30,30,1.000
cam9,7,30,30,1.000
cam10,1,30,30,1.000
cam10,2,30,30,1.000
cam10,3,30,30,1.000
cam10,4,30,30,1.000
cam11,1,30,30,1.000
cam11,2,30,30,1.000
cam11,3,30,30,1.000
cam11,4,30,30,1.000
cam11,5,30,30,1.000
cam12,1,30,30,1.000
cam12,2,30,30,1.000
cam12,3,30,30,1.000
cam12,4,30,30,1.000
cam12,5,30,30,1.000
cam13,1,30,30,1.000
cam13,2,30,30,1.000
cam13,3,30,30,1.000
cam13,4,30,30,1.000
cam13,5,30,30,1.000
cam13,6,30,30,1.000
cam13,7,30,30,1.000
cam14,1,30,30,1.000
cam14,2,30,30,1.000
cam14,3,30,30,1.000
cam14,4,30,30,1.000
cam15,1,60,60,1.000
cam15,2,60,60,1.000
cam15,3,60,60,1.000
cam15,4,60,60,1.000
cam15,5,60,60,1.000
cam15,6,60,60,1.000
cam15,7,60,60,1.000
cam15,8,60,60,1.000
cam16,1,60,60,1.000
cam16,2,60,60,1.000
cam16,3,60,60,1.000
cam16,4,60,60,1.000
cam17,1,60,60,1.000
cam17,2,60,60,1.000
cam17,3,60,60,1.000
cam17,4,60,60,1.000
cam18,1,60,60,1.000
cam18,2,60,60,1.000
cam18,3,60,60,1.000
cam18,4,60,60,1.000
cam18,5,60,60,1.000
